date,value
2020-12-01,55318939.0
2021-01-01,57532985.0
2021-02-01,57193728.0
2021-03-01,59424914.0
2021-04-01,58116526.0
2021-05-01,58564491.0
2021-06-01,61027435.0
2021-07-01,60236557.0
2021-08-01,61417057.0
2021-09-01,60045323.0
2021-10-01,62937706.0
2021-11-01,64647689.0
2021-12-01,65963347.0
2022-01-01,65459221.0
2022-02-01,69588919.0
2022-03-01,72466369.0
2022-04-01,73821043.0
2022-05-01,73063390.0
2022-06-01,74025224.0
2022-07-01,72618851.0
2022-08-01,71234403.0
2022-09-01,71535336.0
2022-10-01,73359516.0
2022-11-01,73011342.0
2022-12-01,72189535.0
2023-01-01,74144696.0
2023-02-01,71690302.0
2023-03-01,72188849.0
2023-04-01,71378960.0
2023-05-01,72637990.0
2023-06-01,71453289.0
2023-07-01,71820680.0
2023-08-01,73623709.0
2023-09-01,73677096.0
2023-10-01,71343582.0
2023-11-01,72068208.0
2023-12-01,71480692.0
2024-01-01,70181980.0
2024-02-01,71663357.0
2024-03-01,70574052.0
2024-04-01,71497943.0
2024-05-01,71706913.0
2024-06-01,70348104.0
2024-07-01,71547971.0
2024-08-01,70295224.0
2024-09-01,70151687.0
2024-10-01,71039024.0
2024-11-01,71543743.0
2024-12-01,71802421.0
2025-01-01,72792059.0
2025-02-01,72416472.0
2025-03-01,71278943.0
2025-04-01,69336276.0
2025-05-01,68291456.0
2025-06-01,68931858.0
2025-07-01,70506924.0
2025-08-01,69779224.0
2025-09-01,72358677.0
2025-10-01,71630792.0
2025-11-01,70765337.0
